id,ActivityDate,TotalSteps,SedentaryMinutes,Calories,minutes_asleep,hours_asleep,weekday_num,weekday_name
1503960366,2016-03-25,11004,804,1819,351,5.85,5,Friday
1503960366,2016-03-26,17609,588,2154,437,7.28,6,Saturday
1503960366,2016-03-27,12736,605,1944,483,8.05,0,Sunday
1503960366,2016-03-28,13231,1080,1932,73,1.22,1,Monday
1503960366,2016-03-29,12041,763,1886,349,5.82,2,Tuesday
1503960366,2016-03-30,10970,1174,1820,,,3,Wednesday
1503960366,2016-03-31,12256,820,1889,308,5.13,4,Thursday
1503960366,2016-04-01,12262,866,1868,283,4.72,5,Friday
1503960366,2016-04-02,11248,636,1843,439,7.32,6,Saturday
1503960366,2016-04-03,10016,655,1850,379,6.32,0,Sunday
1503960366,2016-04-04,14557,757,2030,294,4.90,1,Monday
1503960366,2016-04-05,14844,736,2083,280,4.67,2,Tuesday
1503960366,2016-04-06,11974,1173,1861,,,3,Wednesday
1503960366,2016-04-07,10198,1208,1755,,,4,Thursday
1503960366,2016-04-08,12521,1160,1895,,,5,Friday
1503960366,2016-04-09,12432,738,1883,380,6.33,6,Saturday
1503960366,2016-04-10,10057,737,1755,455,7.58,0,Sunday
1503960366,2016-04-11,10990,855,1811,310,5.17,1,Monday
1503960366,2016-04-12,224,32,50,,,2,Tuesday
1624580081,2016-03-25,1810,1319,1373,,,5,Friday
1624580081,2016-03-26,815,1393,1264,,,6,Saturday
1624580081,2016-03-27,1985,1328,1350,,,0,Sunday
1624580081,2016-03-28,1905,1345,1342,,,1,Monday
1624580081,2016-03-29,1552,1374,1300,,,2,Tuesday
1624580081,2016-03-30,1675,1356,1313,,,3,Wednesday
1624580081,2016-03-31,4506,1285,1498,,,4,Thursday
1624580081,2016-04-01,9218,1219,1541,,,5,Friday
1624580081,2016-04-02,1556,1352,1327,,,6,Saturday
1624580081,2016-04-03,2910,1283,1452,,,0,Sunday
1624580081,2016-04-04,18464,1170,1574,,,1,Monday
1624580081,2016-04-05,1335,1366,1308,,,2,Tuesday
1624580081,2016-04-06,1004,1385,1276,,,3,Wednesday
1624580081,2016-04-07,1111,1386,1278,,,4,Thursday
1624580081,2016-04-08,6344,1297,1409,,,5,Friday
1624580081,2016-04-09,3572,1318,1370,,,6,Saturday
1624580081,2016-04-10,3910,1240,1555,,,0,Sunday
1624580081,2016-04-11,10000,1268,1469,,,1,Monday
1624580081,2016-04-12,6627,604,706,,,2,Tuesday
1644430081,2016-04-01,4636,838,3323,,,5,Friday
